Computational graph saved as computational_graph
Epoch 0/30 - Train Loss: 57.8496, Train Accuracy: 0.0920, Test Loss: 2.4038, Test Accuracy: 0.0909
Epoch 1/30 - Train Loss: 2.4284, Train Accuracy: 0.0944, Test Loss: 2.4195, Test Accuracy: 0.0909
Epoch 2/30 - Train Loss: 2.6936, Train Accuracy: 0.0920, Test Loss: 2.4155, Test Accuracy: 0.0914
Epoch 3/30 - Train Loss: 2.4100, Train Accuracy: 0.0972, Test Loss: 2.3980, Test Accuracy: 0.0909
Epoch 4/30 - Train Loss: 2.4082, Train Accuracy: 0.0920, Test Loss: 2.3981, Test Accuracy: 0.0909
Epoch 5/30 - Train Loss: 2.3993, Train Accuracy: 0.0916, Test Loss: 2.3984, Test Accuracy: 0.0909
Epoch 6/30 - Train Loss: 2.3975, Train Accuracy: 0.0882, Test Loss: 2.3983, Test Accuracy: 0.0909
Epoch 7/30 - Train Loss: 2.3974, Train Accuracy: 0.0891, Test Loss: 2.3985, Test Accuracy: 0.0909
Epoch 8/30 - Train Loss: 2.3974, Train Accuracy: 0.0895, Test Loss: 2.3985, Test Accuracy: 0.0909
Epoch 9/30 - Train Loss: 2.3975, Train Accuracy: 0.0893, Test Loss: 2.3985, Test Accuracy: 0.0909
Epoch 10/30 - Train Loss: 2.3974, Train Accuracy: 0.0890, Test Loss: 2.3986, Test Accuracy: 0.0909
Epoch 11/30 - Train Loss: 2.3974, Train Accuracy: 0.0859, Test Loss: 2.3985, Test Accuracy: 0.0909
Epoch 12/30 - Train Loss: 2.3974, Train Accuracy: 0.0886, Test Loss: 2.3986, Test Accuracy: 0.0909
Epoch 13/30 - Train Loss: 2.3974, Train Accuracy: 0.0894, Test Loss: 2.3985, Test Accuracy: 0.0909
Epoch 14/30 - Train Loss: 2.3975, Train Accuracy: 0.0893, Test Loss: 2.3985, Test Accuracy: 0.0909
Epoch 15/30 - Train Loss: 2.3974, Train Accuracy: 0.0878, Test Loss: 2.3985, Test Accuracy: 0.0909
Epoch 16/30 - Train Loss: 2.3974, Train Accuracy: 0.0866, Test Loss: 2.3986, Test Accuracy: 0.0909
Epoch 17/30 - Train Loss: 2.3974, Train Accuracy: 0.0856, Test Loss: 2.3986, Test Accuracy: 0.0909
Epoch 18/30 - Train Loss: 2.3974, Train Accuracy: 0.0921, Test Loss: 2.3986, Test Accuracy: 0.0909
Epoch 19/30 - Train Loss: 2.3974, Train Accuracy: 0.0846, Test Loss: 2.3986, Test Accuracy: 0.0909
Epoch 20/30 - Train Loss: 2.3974, Train Accuracy: 0.0874, Test Loss: 2.3985, Test Accuracy: 0.0909
Epoch 21/30 - Train Loss: 2.3974, Train Accuracy: 0.0882, Test Loss: 2.3985, Test Accuracy: 0.0909
Epoch 22/30 - Train Loss: 2.3974, Train Accuracy: 0.0907, Test Loss: 2.3985, Test Accuracy: 0.0909
Epoch 23/30 - Train Loss: 2.3974, Train Accuracy: 0.0855, Test Loss: 2.3986, Test Accuracy: 0.0909
Epoch 24/30 - Train Loss: 2.3973, Train Accuracy: 0.0883, Test Loss: 2.3985, Test Accuracy: 0.0909
Epoch 25/30 - Train Loss: 2.3974, Train Accuracy: 0.0890, Test Loss: 2.3986, Test Accuracy: 0.0909
Epoch 26/30 - Train Loss: 2.3973, Train Accuracy: 0.0898, Test Loss: 2.3986, Test Accuracy: 0.0909
Epoch 27/30 - Train Loss: 2.3974, Train Accuracy: 0.0840, Test Loss: 2.3985, Test Accuracy: 0.0909
Epoch 28/30 - Train Loss: 2.3974, Train Accuracy: 0.0891, Test Loss: 2.3985, Test Accuracy: 0.0909
Epoch 29/30 - Train Loss: 2.3973, Train Accuracy: 0.0875, Test Loss: 2.3986, Test Accuracy: 0.0909
Plot saved as loss.png
Plot saved as metrics.png
